b30_t10,b30_t3,lp_t10,lp_t3,wLEX_t10,wLEX_t3,wSMA_t3,wSMA_t10,5o_t10,5o_t3
83,49,73,47,79,51,55,83,79,55
82,52,78,45,78,52,51,81,77,49
85,54,71,46,81,52,52,79,123,67
83,55,75,45,78,50,55,82,81,51
81,53,74,43,75,51,52,79,123,70
83,53,72,46,80,51,53,80,83,53
83,52,75,42,81,55,52,79,124,69
84,52,75,47,83,53,57,83,82,52
82,54,74,42,81,52,55,84,124,67
80,51,74,44,81,52,52,79,76,51
80,53,71,48,82,56,52,82,80,49
84,54,76,45,80,50,51,79,121,73
84,56,76,44,79,54,53,83,75,49
88,54,71,44,80,52,50,81,84,53
83,55,75,47,78,51,53,81,124,69
81,53,77,44,81,51,53,83,123,65
87,57,74,44,80,53,51,79,77,55
80,52,78,44,77,50,53,82,78,49
86,50,74,46,79,52,53,82,123,64
84,56,75,47,78,53,54,80,85,52
80,56,73,46,77,50,53,81,123,66
83,52,72,45,79,52,51,83,81,53
82,52,72,44,82,55,53,82,123,74
82,57,76,46,80,53,50,76,124,69
81,53,73,46,77,55,53,79,79,55
83,50,76,44,81,52,53,82,78,52
83,53,75,43,83,53,53,84,125,70
82,52,72,43,79,53,52,82,80,51
82,53,77,44,79,53,51,81,123,68
84,55,73,44,77,53,55,84,84,59
84,54,74,44,81,52,57,83,79,50
83,54,72,47,76,53,53,81,84,54
82,54,78,47,79,52,52,85,121,69
83,56,73,44,78,52,54,82,81,54
82,54,79,44,83,56,52,82,122,67
84,51,72,42,84,55,57,84,78,57
81,56,74,46,84,55,55,82,124,68
86,56,73,46,84,55,51,78,81,55
83,58,75,44,84,55,53,81,77,51
82,59,75,44,84,55,55,81,78,53
80,50,72,45,84,55,54,83,121,66
79,54,76,44,84,55,55,85,79,54
81,58,72,44,84,55,54,81,123,66
82,54,74,45,84,55,50,79,79,51
84,51,79,44,84,55,52,79,125,64
80,53,75,43,83,54,53,81,77,53
79,55,70,44,84,55,52,79,82,53
82,54,76,44,84,55,50,79,122,65
84,54,73,45,83,54,46,75,75,47
82,55,73,44,83,55,50,81,123,66
85,51,74,47,83,55,53,79,122,70
80,58,74,45,83,54,50,78,80,56
82,56,75,43,84,55,53,79,122,71
78,50,71,45,83,54,50,75,83,59
77,50,73,46,83,55,54,84,82,57
81,48,75,43,84,55,52,82,123,70
86,55,74,44,82,54,52,83,82,51
83,50,76,44,82,52,53,80,123,64
81,51,79,43,84,56,51,80,80,52
87,55,73,42,82,54,55,84,121,67
83,53,76,44,83,55,55,84,77,52
85,53,73,44,83,55,55,84,122,70
81,49,74,45,83,54,55,84,81,57
83,54,73,46,84,55,55,84,84,52
81,54,71,45,82,54,56,84,125,64
84,57,76,46,84,55,55,84,82,49
87,56,72,43,81,54,55,84,123,66
86,51,76,47,85,56,55,84,83,52
81,54,71,44,83,54,55,84,123,69
81,54,74,48,82,54,54,83,81,53
82,57,74,47,84,55,55,84,82,54
81,54,77,47,82,54,55,84,81,48
80,56,73,47,81,52,55,84,125,65
82,51,74,44,82,56,56,85,81,55
79,53,72,45,85,56,55,84,75,49
80,53,74,44,81,54,55,84,75,54
82,53,72,42,83,54,55,84,123,65
81,57,75,47,83,55,55,83,83,54
87,53,70,48,80,52,56,85,121,68
78,56,75,45,83,55,56,84,123,66
83,56,75,47,83,55,55,84,81,55
85,52,75,41,83,56,54,83,124,70
82,51,74,46,84,57,53,82,85,55
78,49,72,43,82,55,56,85,123,64
80,53,73,41,83,53,56,84,120,67
80,53,75,45,82,54,56,85,81,56
86,56,70,44,83,56,57,85,126,67
87,55,74,42,83,57,54,84,122,72
78,49,71,43,83,54,54,83,76,51
82,52,74,45,84,56,54,83,125,70
82,52,73,46,84,55,54,84,76,47
83,54,74,46,84,56,55,84,124,67
81,52,72,42,83,54,57,86,82,52
82,54,72,44,81,52,55,84,125,68
83,54,78,45,81,53,53,84,125,73
80,52,70,45,84,55,55,85,83,53
82,57,78,42,83,54,56,84,121,66
81,55,71,41,83,54,55,84,121,65
83,53,73,46,84,55,56,85,80,52
81,50,75,44,83,54,55,85,125,71
82,50,75,45,83,54,55,82,122,73
86,56,73,45,82,54,57,87,78,49
80,54,72,46,83,54,56,85,77,52
83,57,70,46,84,55,56,84,81,51
79,52,72,42,83,54,55,83,83,55
78,54,73,47,82,54,59,86,124,71
80,53,70,43,82,54,56,84,85,57
79,51,71,42,81,53,56,83,122,64
83,53,72,45,82,55,56,85,81,51
80,52,75,46,83,54,56,85,80,50
80,52,74,48,82,53,56,86,77,53
78,54,72,47,84,53,54,83,121,66
89,56,73,44,82,53,58,86,124,67
78,54,73,47,81,52,58,85,82,50
77,53,71,45,83,54,55,85,79,52
80,52,69,44,84,55,57,84,83,53
85,53,77,47,84,55,56,84,81,51
83,57,74,47,81,52,55,83,82,56
83,50,76,45,82,53,58,84,77,54
81,53,75,43,83,55,55,84,122,65
78,51,70,42,81,54,55,83,76,50
78,56,73,44,83,54,55,84,122,64
85,61,72,46,82,53,53,82,84,52
80,55,73,44,80,50,54,83,75,51
78,56,73,43,86,58,52,81,80,52
80,54,75,42,83,54,54,84,120,66
81,53,73,41,84,55,55,83,84,48
83,53,69,46,84,56,54,82,122,65
80,48,72,42,80,52,54,82,124,67
81,57,73,43,78,50,54,82,80,56
80,54,73,45,83,56,53,83,122,68
81,58,74,42,81,57,55,83,79,49
82,54,74,47,82,55,55,84,79,53
81,56,76,47,84,57,52,82,82,56
80,52,73,42,83,54,55,83,120,70
82,49,74,43,86,58,54,84,124,66
81,50,74,47,81,52,54,83,82,53
80,55,75,43,82,53,54,83,79,53
80,55,73,45,82,54,56,85,79,51
81,57,72,44,81,52,56,84,124,69
78,56,75,43,80,54,56,83,78,51
78,51,76,42,83,54,55,83,80,51
81,54,68,44,81,52,54,81,75,49
86,57,72,44,83,54,52,81,122,70
82,57,78,41,80,51,54,82,81,56
81,51,72,44,80,54,56,84,80,55
82,55,72,47,83,55,53,81,85,54
82,53,73,43,83,53,53,83,80,51
80,55,70,42,82,53,52,82,84,53
78,52,71,43,83,54,55,82,83,52
80,54,72,43,83,53,55,85,80,53
81,56,70,47,82,54,53,82,125,72
82,59,77,44,82,54,53,84,80,50
84,56,73,42,81,54,58,87,122,65
80,51,74,43,81,54,55,84,78,54
80,54,72,44,81,53,57,85,79,53
82,50,70,48,81,53,56,85,80,56
78,52,71,45,82,55,57,84,126,65
78,57,73,41,81,52,56,85,82,53
80,53,71,41,80,51,55,83,86,51
81,51,74,45,83,53,57,84,79,51
82,52,72,44,84,55,55,84,126,69
83,57,68,41,82,54,56,81,86,50
80,53,76,46,84,56,56,85,80,55
78,53,71,43,83,55,53,84,81,55
84,55,73,44,84,53,56,83,122,70
81,53,75,45,79,52,54,80,81,51
83,55,71,42,80,52,51,82,82,51
82,53,72,45,81,53,54,85,125,69
80,54,72,44,84,54,55,84,78,51
80,54,71,45,80,52,55,84,80,54
79,58,72,45,83,54,52,82,83,52
80,50,72,40,80,53,54,84,78,48
84,55,72,44,80,54,54,82,121,66
82,57,76,46,85,55,52,82,76,52
81,54,75,47,82,53,53,83,81,50
79,55,72,48,81,54,54,83,122,63
79,49,70,44,85,55,54,84,73,46
84,54,73,45,80,54,52,82,122,69
76,52,68,43,82,54,52,82,82,58
80,54,70,44,81,56,55,84,82,55
79,54,75,41,78,50,54,83,74,50
82,52,76,44,82,55,54,82,123,68
79,53,73,45,79,51,55,84,121,63
76,52,71,46,83,53,55,86,76,49
78,55,73,44,84,56,52,83,125,68
77,46,74,43,81,51,52,80,77,53
82,56,76,42,83,55,56,84,124,68
81,51,68,40,82,54,57,85,123,64
78,51,79,44,82,53,54,80,84,55
78,55,75,44,83,54,53,82,123,73
83,56,71,42,80,54,55,84,76,48
85,59,71,43,84,55,55,81,84,53
83,51,77,44,81,53,51,83,123,70
77,51,75,41,82,53,55,82,80,55
82,55,74,44,82,55,52,82,125,68
81,50,71,43,82,54,56,84,123,69
85,55,70,45,79,53,57,85,78,53
79,59,73,43,84,54,52,79,81,54
83,55,73,47,82,53,53,80,80,52
80,58,73,43,82,53,56,82,86,51
83,54,74,45,77,50,57,83,78,50
79,52,75,42,83,56,55,80,75,56
80,55,73,44,84,54,54,82,121,66
81,53,75,45,78,52,52,81,84,56
81,53,70,43,82,55,52,81,79,53
77,53,75,44,79,53,56,84,123,62
78,54,73,45,82,56,54,79,77,57
79,54,76,39,83,55,55,87,78,51
79,51,70,46,82,55,56,84,82,53
77,52,73,44,83,55,55,83,84,57
80,54,76,43,80,53,57,84,80,51
82,54,69,44,81,54,50,81,85,56
80,54,72,41,83,54,54,83,119,69
